

New grid search run:
Combination ID=88: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=20, Layers=1, Final training loss=0.5993086099624634, Final validation loss=0.5748453140258789, Final training metric=0.5993086099624634, Final validation metric=0.5748453140258789, Number of parameters=61
Combination ID=89: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=20, Layers=2, Final training loss=0.5542306303977966, Final validation loss=0.5319671630859375, Final training metric=0.5542306303977966, Final validation metric=0.5319671630859375, Number of parameters=481
Combination ID=90: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=20, Layers=3, Final training loss=0.843346893787384, Final validation loss=0.896843433380127, Final training metric=0.843346893787384, Final validation metric=0.896843433380127, Number of parameters=901
Combination ID=91: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=5, Layers=1, Final training loss=0.45593807101249695, Final validation loss=0.430025577545166, Final training metric=0.45593807101249695, Final validation metric=0.430025577545166, Number of parameters=16
Combination ID=92: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=5, Layers=2, Final training loss=0.3534065783023834, Final validation loss=0.33105361461639404, Final training metric=0.3534065783023834, Final validation metric=0.33105361461639404, Number of parameters=46
Combination ID=93: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=5, Layers=3, Final training loss=0.3808344602584839, Final validation loss=0.36386144161224365, Final training metric=0.3808344602584839, Final validation metric=0.36386144161224365, Number of parameters=76
Combination ID=94: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=10, Layers=1, Final training loss=0.377437025308609, Final validation loss=0.3590123653411865, Final training metric=0.377437025308609, Final validation metric=0.3590123653411865, Number of parameters=31
Combination ID=95: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=10, Layers=2, Final training loss=0.3385023772716522, Final validation loss=0.3243969678878784, Final training metric=0.3385023772716522, Final validation metric=0.3243969678878784, Number of parameters=141
Combination ID=96: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=10, Layers=3, Final training loss=0.3005954325199127, Final validation loss=0.2771616280078888, Final training metric=0.3005954325199127, Final validation metric=0.2771616280078888, Number of parameters=251
Combination ID=97: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=20, Layers=1, Final training loss=0.504085898399353, Final validation loss=0.48109161853790283, Final training metric=0.504085898399353, Final validation metric=0.48109161853790283, Number of parameters=61
Combination ID=98: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=20, Layers=2, Final training loss=0.3498700261116028, Final validation loss=0.34038016200065613, Final training metric=0.3498700261116028, Final validation metric=0.34038016200065613, Number of parameters=481
Combination ID=99: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=rmsprop, Neurons=20, Layers=3, Final training loss=0.3029085397720337, Final validation loss=0.27867621183395386, Final training metric=0.3029085397720337, Final validation metric=0.27867621183395386, Number of parameters=901
